gakuhen_nagasa,gakuhen_haba,hanabira_nagasa,hanabira_haba,syurui
0.22,0.63,0.08,0.04,0
0.17,0.42,0.35,0.04,0
0.11,0.5,0.13,0.04,0
0.08,0.46,0.26,0.04,0
0.19,0.67,0.44,0.04,0
0.31,0.79,0.04,0.13,0
0.08,0.58,0.37,0.08,0
0.19,0.58,0.47,0.04,0
0.03,0.38,0.02,0.04,0
0.17,0.46,0.45,0.03,0
0.31,0.71,0.36,0.04,0
0.14,0.58,0.3,0.04,0
0.14,0.42,0.25,0.01,0
0.02,0.42,0.06,0.01,0
0.42,0.83,0.35,0.04,0
0.39,1,0.13,0.13,0
0.31,0.79,0.42,0.13,0
0.22,0.63,0.35,0.08,0
0.39,0.75,0.14,0.08,0
0.22,0.75,0.01,0.08,0
0.31,0.58,0.29,0.04,0
0.22,0.71,0.41,0.13,0
0.08,0.67,0.32,0.04,0
0.22,0.54,0.12,0.17,0
0.14,0.58,0.39,0.04,0
0.19,0.42,0.04,0.04,0
0.19,0.58,0.29,0.13,0
0.25,0.63,0.12,0.04,0
0.25,0.58,0.14,0.04,0
0.11,0.5,0.08,0.04,0
0.14,0.46,0.15,0.04,0
0.31,0.58,0.33,0.13,0
0.25,0.88,0.17,0.01,0
0.33,0.92,0.44,0.04,0
0.17,0.46,0.4,0.02,0
0.19,0.5,0.31,0.04,0
0.33,0.63,0.28,0.04,0
0.17,0.46,0.13,0.01,0
0.03,0.42,0.4,0.04,0
0.22,0.58,0.27,0.04,0
0.19,0.63,0.18,0.08,0
0.06,0.13,0.24,0.08,0
0.03,0.5,0.28,0.04,0
0.19,0.63,0.18,0.21,0
0.22,0.75,0.07,0.13,0
0.14,0.42,0.44,0.08,0
0.22,0.75,0.15,0.04,0
0.08,0.5,0.31,0.04,0
0.28,0.71,0.4,0.04,0
0.19,0.54,0.13,0.04,0
0.75,0.5,0.43,0.54,1
0.58,0.5,0.51,0.58,1
0.72,0.46,0.71,0.58,1
0.33,0.13,0.61,0.5,1
0.61,0.33,0.76,0.58,1
0.39,0.33,0.66,0.5,1
0.56,0.54,0.57,0.63,1
0.17,0.17,0.32,0.38,1
0.64,0.38,0.45,0.5,1
0.25,0.29,0.6,0.54,1
0.19,0,0.3,0.38,1
0.2,0.42,0.65,0.58,1
0.47,0.08,0.32,0.38,1
0.5,0.38,0.43,0.54,1
0.36,0.38,0.51,0.5,1
0.67,0.46,0.72,0.54,1
0.36,0.42,0.57,0.58,1
0.42,0.29,0.42,0.38,1
0.53,0.08,0.44,0.58,1
0.36,0.21,0.6,0.42,1
0.44,0.5,0.43,0.71,1
0.5,0.33,0.41,0.5,1
0.56,0.21,0.58,0.58,1
0.5,0.33,0.78,0.46,1
0.58,0.4,0.64,0.5,1
0.64,0.42,0.55,0.54,1
0.69,0.33,0.72,0.54,1
0.67,0.42,0.77,0.67,1
0.47,0.38,0.4,0.58,1
0.39,0.25,0.25,0.38,1
0.33,0.17,0.32,0.42,1
0.33,0.17,0.32,0.38,1
0.42,0.29,0.63,0.46,1
0.47,0.29,0.6,0.63,1
0.31,0.42,0.81,0.58,1
0.47,0.58,0.41,0.63,1
0.67,0.46,0.49,0.58,1
0.56,0.13,0.61,0.5,1
0.36,0.42,0.4,0.5,1
0.33,0.21,0.49,0.5,1
0.33,0.25,0.69,0.46,1
0.5,0.42,0.38,0.54,1
0.42,0.25,0.52,0.46,1
0.19,0.13,0.32,0.38,1
0.36,0.29,0.54,0.5,1
0.39,0.42,0.41,0.46,1
0.39,0.38,0.53,0.5,1
0.53,0.38,0.57,0.5,1
0.22,0.21,0.47,0.42,1
0.39,0.33,0.5,0.5,1
0.56,0.54,0.88,0.6,2
0.42,0.29,0.72,0.75,2
0.78,0.42,0.61,0.83,2
0.56,0.38,0.77,0.71,2
0.61,0.42,0.75,0.88,2
0.92,0.42,0.62,0.83,2
0.17,0.21,0.53,0.67,2
0.83,0.38,0.71,0.71,2
0.67,0.21,0.6,0.71,2
0.81,0.67,0.86,0.7,2
0.61,0.5,0.8,0.79,2
0.58,0.29,0.89,0.75,2
0.69,0.42,0.51,0.83,2
0.39,0.21,0.75,0.79,2
0.42,0.33,0.5,0.96,2
0.58,0.5,0.84,0.92,2
0.61,0.42,0.92,0.71,2
0.94,0.75,0.84,0.88,2
0.94,0.25,0.83,0.92,2
0.47,0.08,0.71,0.58,2
0.72,0.5,0.8,0.92,2
0.36,0.33,0.66,0.79,2
0.94,0.33,0.89,0.79,2
0.56,0.29,0.57,0.71,2
0.67,0.54,0.64,0.83,2
0.81,0.5,0.86,0.71,2
0.53,0.33,0.81,0.71,2
0.5,0.42,0.66,0.71,2
0.58,0.33,0.89,0.83,2
0.81,0.42,0.54,0.63,2
0.86,0.33,0.66,0.75,2
0,0.75,0.93,0.79,2
0.58,0.33,0.61,0.88,2
0.56,0.33,0.68,0.58,2
0.5,0.25,0.5,0.54,2
0.94,0.42,0.6,0.92,2
0.56,0.58,0.8,0.96,2
0.5,0.46,0.57,0.71,2
0.47,0.42,0.4,0.71,2
0.72,0.46,0.71,0.83,2
0.67,0.46,0.58,0.96,2
0.72,0.46,0.46,0.92,2
0.42,0.29,0.7,0.75,2
0.69,0.5,0.95,0.92,2
0.67,0.54,0.7,0.72,2
0.67,0.42,0.54,0.92,2
0.56,0.21,0.69,0.46,2
0.61,0.42,0.7,0.79,2
0.53,0.58,0.63,0.92,2
0.44,0.42,0.41,0.71,2
